merke;modell;aarsmodell;kilometer;gir;type;pris;url
Bentley;Arnage;1999;67 000 km;Automat;Bensin;501 777 kr;https://www.finn.no/car/used/ad.html?finnkode=304228176
Volkswagen;Golf;2011;129 822 km;Automat;Diesel;76 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305156059
Nissan;Leaf;2017;35 500 km;Automat;Elektrisitet;129 147 kr;https://www.finn.no/car/used/ad.html?finnkode=305073422
Volkswagen;Golf Plus;2014;52 400 km;Automat;Diesel;112 147 kr;https://www.finn.no/car/used/ad.html?finnkode=305159463
Mercedes-Benz;C-Klasse;2017;60 300 km;Automat;El + Bensin;329 147 kr;https://www.finn.no/car/used/ad.html?finnkode=305155428
BMW;iX3;2021;28 000 km;Automat;Elektrisitet;485 000 kr;https://www.finn.no/car/used/ad.html?finnkode=305164403
Volvo;C70;2003;161 000 km;Automat;Bensin;65 000 kr;https://www.finn.no/car/used/ad.html?finnkode=274725457
Peugeot;307;2007;170 000 km;Manuell;Bensin;39 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305163768
BMW;X1;2010;163 540 km;Automat;Diesel;111 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305141288
BMW;iX xDrive 50;2022;21 300 km;Automat;Elektrisitet;996 868 kr;https://www.finn.no/car/used/ad.html?finnkode=297010991
Audi;A4;2002;260 000 km;Manuell;Diesel;9 877 kr;https://www.finn.no/car/used/ad.html?finnkode=305157007
Mercedes-Benz;B-Klasse;2015;137 627 km;Automat;Diesel;159 000 kr;https://www.finn.no/car/used/ad.html?finnkode=291912742
Mercedes-Benz;Vito;2007;202 000 km;Automat;Diesel;95 186 kr;https://www.finn.no/car/used/ad.html?finnkode=297504548
BMW;M5;2019;59 000 km;Automat;Bensin;1149 147 kr;https://www.finn.no/car/used/ad.html?finnkode=296763750
Volkswagen;Caddy;2005;179 000 km;Manuell;Diesel;26 800 kr;https://www.finn.no/car/used/ad.html?finnkode=305158414
Saab;9000;1996;300 000 km;Automat;Bensin;9 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305154904
Land Rover;Discovery;2016;143 500 km;Automat;Diesel;349 000 kr;https://www.finn.no/car/used/ad.html?finnkode=305162384
Volkswagen;Tiguan;2011;188 000 km;Manuell;Diesel;109 034 kr;https://www.finn.no/car/used/ad.html?finnkode=251959352
Porsche;911;1966;123 456 km;Manuell;Bensin;400 000 kr;https://www.finn.no/car/used/ad.html?finnkode=305143307
Hummer;H2;2004;165 000 km;Automat;Bensin;301 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305152810
Volkswagen;Golf;2020;74 800 km;Automat;Elektrisitet;169 147 kr;https://www.finn.no/car/used/ad.html?finnkode=305153822
Volkswagen;Golf;2016;124 575 km;Automat;Elektrisitet;104 147 kr;https://www.finn.no/car/used/ad.html?finnkode=305156072
Mercedes-Benz;C-Klasse;2016;49 000 km;Automat;El + Bensin;229 147 kr;https://www.finn.no/car/used/ad.html?finnkode=298785474
Volkswagen;Passat;2018;299 800 km;Automat;Diesel;179 000 kr;https://www.finn.no/car/used/ad.html?finnkode=305162243
Toyota;RAV4;2014;149 045 km;Manuell;Diesel;175 000 kr;https://www.finn.no/car/used/ad.html?finnkode=273536426
Kia;Soul;2022;34 000 km;Automat;Elektrisitet;330 000 kr;https://www.finn.no/car/used/ad.html?finnkode=305161877
Volvo;XC 70;2007;391 000 km;Automat;Diesel;9 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305157083
Nissan;Pathfinder;2005;276 500 km;Automat;Diesel;66 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305142305
Peugeot;307;2007;185 000 km;Manuell;Diesel;27 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305153240
Porsche;Taycan;2022;17 000 km;Automat;Elektrisitet;996 868 kr;https://www.finn.no/car/used/ad.html?finnkode=305156818
Audi;A4;2012;125 500 km;Manuell;Diesel;109 147 kr;https://www.finn.no/car/used/ad.html?finnkode=301672665
Volkswagen;Passat;2013;254 000 km;Automat;Diesel;59 147 kr;https://www.finn.no/car/used/ad.html?finnkode=305156071
Volkswagen;Caddy;2017;112 000 km;Manuell;Diesel;161 422 kr;https://www.finn.no/car/used/ad.html?finnkode=305154544
BMW;X5;2017;101 600 km;Automat;El + Bensin;465 372 kr;https://www.finn.no/car/used/ad.html?finnkode=185543965
Volkswagen;Golf;2018;86 000 km;Automat;Elektrisitet;165 000 kr;https://www.finn.no/car/used/ad.html?finnkode=305159722
Chevrolet;Corvette;1969;65 000 km;Automat;Bensin;550 000 kr;https://www.finn.no/car/used/ad.html?finnkode=305159473
Kia;Soul;2018;58 845 km;Automat;Elektrisitet;152 000 kr;https://www.finn.no/car/used/ad.html?finnkode=304853464
Toyota;RAV4;2004;156 800 km;Manuell;Diesel;36 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305064269
Tesla;Model X;2019;94 350 km;Automat;Elektrisitet;549 000 kr;https://www.finn.no/car/used/ad.html?finnkode=305158954
Toyota;Avensis;2006;235 353 km;Automat;Bensin;31 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305150864
Volkswagen;Transporter;2014;91 200 km;Manuell;Diesel;156 422 kr;https://www.finn.no/car/used/ad.html?finnkode=305154807
Volkswagen;UP!;2015;96 000 km;Automat;Elektrisitet;69 961 kr;https://www.finn.no/car/used/ad.html?finnkode=296018804
Volkswagen;Polo;2010;193 300 km;Manuell;Diesel;41 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305154240
Chevrolet;Camaro;1981;34 173 km;Automat;Bensin;166 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305152575
Opel;Meriva;2010;216 000 km;Manuell;Bensin;29 777 kr;https://www.finn.no/car/used/ad.html?finnkode=305158441
Volkswagen;Polo;2013;82 000 km;Manuell;Bensin;49 000 kr;https://www.finn.no/car/used/ad.html?finnkode=304651186
Audi;A6;2005;199 000 km;Automat;Diesel;66 777 kr;https://www.finn.no/car/used/ad.html?finnkode=128571682
Ford;Galaxy;2013;196 000 km;Manuell;Diesel;79 000 kr;https://www.finn.no/car/used/ad.html?finnkode=294280864
Volvo;XC 90;2016;127 500 km;Automat;El + Bensin;439 000 kr;https://www.finn.no/car/used/ad.html?finnkode=305157760
Mercedes-Benz;Sprinter;2000;216 000 km;Manuell;Diesel;51 186 kr;https://www.finn.no/car/used/ad.html?finnkode=305120863
